number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_one_minus_gamma,params_vf_coef,user_attrs_duration_s,user_attrs_gamma,user_attrs_n_train_seeds,user_attrs_score_min,user_attrs_score_std,user_attrs_seed_scores,state
63,189.92672167499998,2026-07-21 10:30:39.045558,2026-07-21 10:34:47.643367,0 days 00:04:08.597809,128,0.1,0.005243760727297022,0.95,0.0013536766675615861,0.3,20,2048,0.00019268523011563654,1.0,248.50001081998926,0.9998073147698844,2.0,161.74772704999998,28.178994625,"[218.10571629999998, 161.74772704999998]",COMPLETE
64,211.395603025,2026-07-21 10:30:53.632179,2026-07-21 10:34:56.164081,0 days 00:04:02.531902,128,0.1,0.005008168054933949,0.95,0.0015946137255582306,0.3,20,2048,0.00026259029378244443,1.0,242.29518946399912,0.9997374097062176,2.0,172.48937985000003,38.906223174999965,"[172.48937985000003, 250.30182619999997]",COMPLETE
65,-116.63510360000001,2026-07-21 10:30:57.799290,2026-07-21 10:32:01.024180,0 days 00:01:03.224890,128,0.1,0.006744658400569119,0.95,0.0014761840604244798,0.3,20,2048,0.0002706170327218719,1.0,,,,,,,PRUNED
66,84.08981415,2026-07-21 10:31:05.931991,2026-07-21 10:35:46.707960,0 days 00:04:40.775969,64,0.1,0.0059255530802358545,0.95,0.0014540689451772537,1.0,20,2048,0.0002590568565348598,1.0,280.55846001399914,0.9997409431434652,2.0,-6.698363800000001,90.78817794999999,"[-6.698363800000001, 174.8779921]",COMPLETE
67,-67.80420360000001,2026-07-21 10:31:38.853309,2026-07-21 10:32:36.159797,0 days 00:00:57.306488,64,0.1,0.008129817243166679,0.95,0.0005257394719236844,1.0,20,2048,0.00026856874968458135,1.0,,,,,,,PRUNED
68,228.20754929999998,2026-07-21 10:31:44.836887,2026-07-21 10:35:23.116019,0 days 00:03:38.279132,128,0.1,0.007287490399697975,0.95,0.001691318976240209,0.3,20,2048,0.00024047607350869714,1.0,218.17811161198188,0.9997595239264913,2.0,215.54042099999998,12.667128300000002,"[240.87467759999998, 215.54042099999998]",COMPLETE
69,204.01612757499998,2026-07-21 10:32:01.038033,2026-07-21 10:35:26.865503,0 days 00:03:25.827470,128,0.1,0.0019643203932858118,0.95,0.0017469974877651125,0.3,20,2048,0.00022798375075588795,1.0,205.74394301100983,0.9997720162492442,2.0,190.89655304999997,13.119574525000033,"[217.13570210000003, 190.89655304999997]",COMPLETE
70,191.762336,2026-07-21 10:32:34.046671,2026-07-21 10:36:04.633307,0 days 00:03:30.586636,128,0.1,0.00178573438488171,0.95,0.0019566857625829084,0.3,20,2048,0.00015134565400096357,1.0,210.50668779498665,0.999848654345999,2.0,166.90292434999998,24.859411650000013,"[216.62174765, 166.90292434999998]",COMPLETE
71,-217.5846565,2026-07-21 10:32:36.173323,2026-07-21 10:33:29.103638,0 days 00:00:52.930315,128,0.1,0.0017747191346860374,0.95,0.0017883853938094577,0.3,10,2048,0.00014762880081139196,1.0,,,,,,,PRUNED
72,163.4085513,2026-07-21 10:33:06.341401,2026-07-21 10:36:09.941025,0 days 00:03:03.599624,128,0.1,6.08621884466168e-05,0.95,0.0018281921400624952,0.3,10,2048,0.0001550474445161804,1.0,183.53028569699381,0.9998449525554838,2.0,134.97498960000001,28.4335617,"[191.842113, 134.97498960000001]",COMPLETE
